repo,contributor_count
ain/smartbanner.js,21
carbon-design-system/carbon-components-vue,67
facebook/Rapid,369
jsonwebtoken/jsonwebtoken.github.io,210
fastify/aws-lambda-fastify,25
Cryptkeeper/Minetrack,64
microlinkhq/youtube-dl-exec,35
medic/cht-core,132
nodejs/amaro,22
logandk/serverless-wsgi,45
scala-text/scala_text,54
SAP/ui5-tooling,52
fastify/fastify-cors,60
UMAprotocol/protocol,56
apache/couchdb-fauxton,83
taskcluster/taskcluster,237
alfg/opendrinks,567
adopted-ember-addons/ember-infinity,61
webpack-contrib/source-map-loader,32
dar5hak/generator-awesome-list,12
SignalK/signalk-server,77
visjs/vis-graph3d,86
bucketeer-io/bucketeer,28
higlass/higlass,36
hiero-ledger/hiero-sdk-js,90
nextcloud/twofactor_totp,45
winstonjs/winston-mongodb,45
depado/goploader,16
cloud-gov/pages-core,55
EclipseFdn/publish-extensions,242
wix-incubator/pro-gallery,66
theMK2k/Media-Hoarder,7
adopted-ember-addons/ember-notify,48
lastsunday/job-hunting,5
neutralinojs/neutralinojs.github.io,114
mdaines/grammophone,3
razorpay/razorpay-node,34
angelsolaorbaiceta/fe-fwk-book,9
CVEProject/cve-services,45
ooade/next-apollo-auth,5
vseventer/sharp-cli,4
weDevsOfficial/wedocs-plugin,24
open-condo-software/condo,61
emberjs/ember-test-helpers,130
webex/webex-js-sdk,199
shebinleo/pdf2html,10
VerusCoin/Verus-Mobile,23
jgodson/shopify-script-creator,5
Thorium-Sim/thorium,35
ConsciousUniverse/simple-stock-management,2
asdf-vm/actions,19
openhab/openhab-alexa,20
qntm/base32768,3
tjenkinson/dynamic-marquee,6
jefago/tiny-markdown-editor,13
masala/masala-parser,10
iondrimba/pwa-music-player,8
suttacentral/suttacentral,42
MusikAnimal/pageviews,16
etherspot/transaction-kit,7
openedx/paragon,132
trendmicro-frontend/tonic-ui,19
digitalocean/openapi,119
goodjoblife/GoodJobShare,16
nextcloud/notifications,67
nearform/the-fastify-workshop,44
mjeanroy/rollup-plugin-license,21
OpenTreeOfLife/opentree,16
box/box-content-preview,76
adobe/coral-spectrum,113
ballerina-platform/blog,38
AdobeDocs/analytics-2.0-apis,69
iamsainikhil/weather-react,2
bitcoinjs/bs58check,9
nextcloud/health,25
freaktechnik/eslint-plugin-array-func,12
cloudspannerecosystem/autoscaler,21
Conflux-Chain/js-conflux-sdk,15
Apollon77/ioBroker.tuya,16
jquery/download.jqueryui.com,19
getredash/website,92
struts-community-plugins/struts2-jquery,21
cmdalbem/ciclomapa,7
torusresearch/torus-website,43
vpython/glowscript,13
adobe/aio-theme,28
cnumr/EcoIndex,16
npm/cmd-shim,26
lumigo-io/lumigo-node,36
simatec/ioBroker.backitup,42
elaichenkov/cy-verify-downloads,3
Thomaash/me,4
treasure-data/td-js-sdk,41
biantris/braintris,6
iobroker-community-adapters/ioBroker.unifi,20
vinayakkulkarni/s-offline,4
alexanderkhivrych/use-modal-hook,6
Chia-Network/chialisp-web,54
zooniverse/Panoptes-Front-End,88
zenika-open-source/FAQ,21
checkout/checkout-sdk-node,18
qntm/t-a-i,2
fastify/releasify,16
MIT-LCP/physionet-build,53
RabbitHouseCorp/ChinoKafuu,31
jthistle/mc-paintings,3
numbas/editor,32
WFCD/warframe-worldstate-parser,21
WFCD/warframe-worldstate-data,35
tomickigrzegorz/show-more,5
maizzle/tailwindcss-email-variants,2
cert-manager/website,334
nating/cs-exams,50
CurbSafeCharmer/refill,10
clearlydefined/crawler,42
ghandmann/HS-AlbSig-WebAnwendungen2,6
TheOdinProject/odin-bot-v2,69
ardalis/DevIQ-gatsby,19
SAP/ui5-server,20
nextcloud/officeonline,100
reconmap/web-client,11
iobroker-community-adapters/ioBroker.worx,18
hitlug/mirror-web,20
mainmatter/ember-intl-analyzer,25
Adyen/adyen-commercetools,40
iobroker-community-adapters/ioBroker.ical,38
GCRC/nunaliit,25
vqbc/trivial,2
recharts/recharts.org,131
admbtlr/reams,6
elyra-ai/canvas,51
nearform/owasp-top-ten-workshop,21
ministryofjustice/moj-frontend,52
microsoft/netperf,12
yahoo/ember-gridstack,16
mamezou-tech/setup-helmfile,14
terminusdb/terminusdb-client-js,23
platelet-app/platelet,10
Mastercard/client-encryption-nodejs,16
MattiLehtinen/postgrator-cli,9
bcomnes/jsonfeed-to-rss,5
AdobeDocs/app-builder,71
CatChen/eslint-suggestion-action,7
graphistry/graphistry-js,9
cylc/cylc-ui,29
Kommunicate-io/Kommunicate-Web-SDK,83
CirclesUBI/circles-myxogastria,18
alexellis/arkade-get,3
Pomax/socketless,3
powerhome/playbook,135
inkdropapp/top,4
girish17/op-mattermost,6
keycap-archivist/database,867
TBS-EACPD/infobase,36
iobroker-community-adapters/ioBroker.openknx,16
DarkIntaqt/challenges,11
HatsuneMiku3939/direnv-action,7
Noesis/Xamltoy,4
lukso-network/docs,76
lionello/secp256k1-js,3
webiny/docs.webiny.com,51
npm/fs,9
Availity/availity-workflow,57
peterekepeter/image-to-gradient,5
luc-ass/docker-telegram-notifier,4
mingchia-andy-liu/chrome-extension-nba,5
youknowznm/rhaego,7
dailymotion/vmap-js,16
openstax/os-webview,33
fossamagna/gas-entry-generator,10
npm/npm-install-checks,20
mauricelam/ScrollMaps,5
alphagov/govuk-browser-extension,55
freaktechnik/notification-sounds,6
getyoti/yoti-node-sdk,21
avoidwork/haro,4
atsign-foundation/at_tools,22
wavemaker/docs,106
cujarrett/markdown-tables,7
AppoloDev/vanilla-icon-picker,7
YOCKOW/Action-setup-swift,3
heroku/heroku-connect-plugin,25
a-tokyo/micro-geoip-lite,3
dhis2/capture-app,39
misanorot/ioBroker.viessmann,5
iobroker-community-adapters/ioBroker.unifi-protect,14
jenkins-infra/plugin-site,57
pegasystems/react-sdk,16
raschy/ioBroker.solarmanpv,4
cycjimmy/h5-video-player,3
i-love-flamingo/flamingo-carotene,21
shirne/ShirneCMS,2
SAP-docs/preview.developer.concur.com,352
npm/promise-spawn,15
markedjs/marked-gfm-heading-id,9
CALIL/sabatomap,4
likecoin/likecoin-wordpress,13
kg8m/chrome-show-tab-numbers,4
punchagan/playo-find-venue,5
