repo,contributor_count
ucscXena/ucsc-xena-client,38
ocadotechnology/rapid-router,95
ai/sitnik.ru,11
ganatan/angular-react-bootstrap,4
thales-markets/contracts,13
primeroIMS/primero,275
etchteam/storybook-addon-status,19
himanshu8443/Study-Notion-master,3
NullVoxPopuli/eslint-plugin-decorator-position,19
SmartBear/swaggerhub-cli,29
cloudfour/transition-hidden-element,5
ioBroker/ioBroker.node-red,43
OldSneerJaw/synctos,12
Ontotext-AD/graphdb-workbench,90
brave/brave-core-crx-packager,64
scitedotai/scite-extension,12
haroldo-ok/vcs-game-maker,3
geneontology/go-site,74
lilxyzz/holo-theme,2
SKB-CGN/ioBroker.energiefluss,3
switch2osm/switch2osm,17
mrhenry/core-web,7
nodejs-loaders/nodejs-loaders,9
w3c/aria-at-app,32
andyholmes/flatter,9
h5bp/server-configs-test,4
dappnode/DAppNodeDocs,48
i-rocky/country-list-js,10
clbustos/buhos,3
GaryStanton/phaser3-merged-input,6
Chia-Network/cadt,29
ethersphere/bee-docs,54
aws-observability/aws-otel-js,17
pinojs/pino-opentelemetry-transport,9
brave/brave-wallet-docs,24
ONSdigital/design-system,34
transitnownash/wego-bus-map,4
jonathanpeppers/inclusive-code-reviews-browser,17
Betterment/test_track_js_client,15
nextcloud/terms_of_service,38
dwyl/phoenix-elm-starter,6
nextcloud/integration_dropbox,10
schorfES/grunt-lintspaces,12
SonOfSardaar/facebook-send-api-emulator,6
DTStack/ko,21
josego85/api-geo-paraguay,7
nextcloud/twofactor_nextcloud_notification,22
diceroll123/neofoodclub,8
Trott/eslint-plugin-new-with-error,3
muxable/rtirl-obs,11
macnick/RPG-game,2
blackspherefollower/IoSTIndex,8
SAP/ui5-fs,15
fabiocaccamo/utils.js,5
release-it-plugins/lerna-changelog,15
Netcentric/fe-build,16
koajs/redis-session-sets,6
posthtml/posthtml-content,6
esm-bundle/react,4
nodejs/node-auto-test,4333
nearform-actions/github-action-check-linked-issues,28
dpobel/metalsmith-filemetadata,5
tudvari/dockerfile-generator,7
zooniverse/mobile,19
red5pro/red5pro-server-frontend,12
PlanningBiblio/PlanningBiblio,28
coreyward/takeout-tracker-web,3
jakerella/guessle,3
RubyNepal/rubynepal.github.io,15
ivmartel/dwv-jqui,6
eXist-db/xst,8
ome/omero-iviewer,12
aktsbot/litebb,1
jeferson-sb/dogAI,3
openedx/edx-ui-toolkit,35
bitfocus/companion-module-novastar-controller,13
samsmithnz/AzurePipelinesToGitHubActionsConverterWeb,4
taw/hoi4,2
unreal-source/manny,6
mediocre/bloodhound,24
music-encoding/music-encoding.github.io,43
LanceMcCarthy/Action-AzureBlobUpload,12
BigThunderSR/node-red-contrib-onstar2,3
kslimani/clappr-google-ima-html5-preroll,3
Apollon77/ioBroker.daikin-cloud,9
klein0r/ioBroker.lametric,21
opensquare-network/dotreasury,13
scality/Arsenal,83
TheIdentitySelector/thiss-js,19
EnchantedLuna/FearlessBot,9
wanadev/abitbol,10
parkerbxyz/suggest-changes,9
Ciunkos/koronakrulow,2
pharo-project/pharo-gsoc,19
sitevision/sitevision-apps,19
scientific-python/circleci-artifacts-redirector-action,14
mistakia/league,4
klein0r/ioBroker.comfoairq,4
KonseptDesign/three-iges-loader,3
silverstripe/doc.silverstripe.org,48
TA2k/ioBroker.lg-thinq,6
mrhenry/polyfill-library,90
project-zot/zui,16
mlibrary/search,13
openedx/frontend-app-authoring,164
nikolas/react-moonphase,4
Apollon77/ioBroker.daikin,15
vinsonchuong/hot-esm,5
timbru31/spigot-anti-piracy-backend,9
iobroker-community-adapters/ioBroker.alias-manager,6
hyperledger-identus/docs,30
Schmakus/ioBroker.lightcontrol,9
RunOnFlux/Flux-Shared-DB,3
volkanto/yaba,2
dex-group/dex.list,2
ehmicky/modern-errors-serialize,3
ioBroker/ioBroker.scheduler,7
tclindner/npm-package-json-lint-config-default,3
cycjimmy/weixin-share,3
SuitestAutomation/suitest-js-api,22
levibuzolic/lottie-optim,4
davevad93/pass-gen,2
ZachWatkins/Remarklet,4
openziti/ziti-browzer-core,5
