url,id,title,label,high_label,repo,delay_days
https://www.github.com/mrhenry/core-web/commit/aeee9f80ea92323dde8bf761dd6353ed559f1c29,1565,Bump @types/babel__traverse from 7.18.5 to 7.20.0,groups:family,Grouping dependencies,mrhenry/core-web,0.5317939814814815
https://www.github.com/SAP/ui5-fs/commit/c1a4b2c6e7ef57e099dcc3c573ce929254c79536,611,[INTERNAL] Bump eslint-plugin-jsdoc from 50.6.17 to 50.7.0,different-version,Upgraded to a newer version,SAP/ui5-fs,0.7925115740740741
https://www.github.com/Theresmore-Automation/Theresmore-Automation/commit/6d0a6f3724ff33748ae205310ae2e2e3eb8a118f,114,Bump @babel/cli from 7.22.9 to 7.22.10,release-prep,Upgraded in the new release,Theresmore-Automation/Theresmore-Automation,211.13819444444445
https://www.github.com/ioBroker/ioBroker.node-red/commit/d47e1ea8fa5239029dffa5479459cb82d8b6b522,530,Bump node-red from 4.0.3 to 4.0.5,groups,Grouping dependencies,ioBroker/ioBroker.node-red,27.567569444444445
https://www.github.com/infracost/docs/commit/b04f6914252c84e4db4b54d6032dd1ae27faf7f2,434,chore(deps): bump @docusaurus/theme-common from 2.2.0 to 2.4.0,groups:family,Grouping dependencies,infracost/docs,170.91863425925928
https://www.github.com/cylc/cylc-ui/commit/336cd8e04d1fd61b62b19d1d3c38d6c6e21748a5,799,Bump sass from 1.41.1 to 1.42.1,groups:dev,Grouping dependencies,cylc/cylc-ui,20.15300925925926
https://www.github.com/aesirxio/bi-app/commit/ca29a46ff22516f7f8edc3a933ce2ce1bf29b013,305,Bump react-to-print from 2.14.13 to 2.14.15,groups,Grouping dependencies,aesirxio/bi-app,147.52743055555555
https://www.github.com/facebook/Rapid/commit/96de6199902f977a6a384d9d4181e7d47fe9625f,748,Bump @tmcw/togeojson from 5.5.0 to 5.6.0,groups,Grouping dependencies,facebook/Rapid,18.193969907407407
https://www.github.com/hiero-ledger/hiero-sdk-js/commit/a2a80c79f07a0c46bc320763079993ab39bf04e8,1039,chore(deps-dev): bump chromedriver from 99.0.0 to 100.0.0,release-prep,Upgraded in the new release,hiero-ledger/hiero-sdk-js,1.049363425925926
https://www.github.com/palacms/PalaCMS/commit/e1f574bcd7ac5df9865b98bbd417e3cc133ed00a,405,Bump vite from 4.4.8 to 4.5.9,release-prep,Upgraded in the new release,palacms/PalaCMS,33.679513888888884
